1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 1, 829, 0,
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 25, 13, 0, 
3, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 9, 9, 0, 
4, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 9, 779, 1738, 
5, India, New Delhi, 28.600006, 77.20001, 125.21.167.85, (None), 37, 32, 0, 
6, India, New Delhi, 28.600006, 77.20001, 182.79.205.84, (None), 24, 675, 0,
7, India, New Delhi, 28.600006, 77.20001, 125.21.167.117, (None), 16, 32, 0, 
8, India, New Delhi, 28.600006, 77.20001, 182.79.236.125, (None), 25, 190, 0,
9, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 6, 161, 12418, 
10, United States, Alameda, 37.7735, -122.2788, 74.125.242.146, (None), 49, 900, 44, 
11, United States, Alameda, 37.7735, -122.2788, 209.85.248.251, (None), 49, 2104, 0,
12, United States, Mountain View, 37.419205, -122.0574, 66.249.94.74, (None), 144, 467, 44, 
13, United States, Mountain View, 37.419205, -122.0574, 209.85.240.27, (None), 64, 536, 0,
14, United States, Mountain View, 37.419205, -122.0574, 108.170.235.220, (None), 2, 5292, 0, 
15, United States, Emeryville, 37.834198, -122.2897, 216.239.43.220, (None), 2, 1232, 50, 
16, United States, Emeryville, 37.834198, -122.2897, 209.85.247.4, (None), 3, 1060, 0,
17, United States, Emeryville, 37.834198, -122.2897, 216.239.59.1, (None), 1, 644, 0,
18, United States, Emeryville, 37.834198, -122.2897, 216.239.42.91, (None), 2, 2422, 0, 
19, United Kingdom, London, 51.4964, -0.122406006, 216.239.50.186, (None), 1, 5024, 8615,
20, United States, Mountain View, 37.419205, -122.0574, 108.170.226.2, (None), 1, 5297, 8643, 
21, United States, Mountain View, 37.419205, -122.0574, 108.170.252.65, (None), 1, 530, 0, 
22, United States, Mountain View, 37.419205, -122.0574, 216.239.59.119, (None), 1, 899, 0,
23, United States, Mountain View, 37.419205, -122.0574, 173.194.151.235, (None), 2, 339, 0, 
