#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 1, 24, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 9, 6, 0, 
3, India, Bangalore, 12.983307, 77.58331, 122.166.33.17, abts-kk-static-017.33.166.122.airtelbroadband.in, 9, 5, 0, 
4, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 9, 2349, 1738, 
5, India, (Unknown), 28.600006, 77.20001, 182.79.176.230, (None), 16, 1454, 0, 
6, India, (Unknown), 28.600006, 77.20001, 182.79.205.86, (None), 16, 1540, 0, 
7, India, (Unknown), 28.600006, 77.20001, 182.79.177.118, (None), 17, 1623, 0, 
8, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 25, 806, 12418, 
9, United States, Alameda, 37.7735, -122.2788, 74.125.242.147, (None), 25, 947, 44, 
10, United States, (Unknown), 37.7735, -122.2788, 216.239.63.213, (None), 64, 2665, 0, 
11, United States, (Unknown), 37.7735, -122.2788, 216.239.63.96, (None), 197, 99, 0, 
12, United States, Mountain View, 37.419205, -122.0574, 108.170.236.124, (None), 64, 5308, 44, 
13, United States, (Unknown), 37.419205, -122.0574, 216.239.54.52, (None), 2, 171, 0, 
14, United States, Mountain View, 37.419205, -122.0574, 72.14.232.71, (None), 64, 1105, 0, 
15, United States, (Unknown), 37.419205, -122.0574, 209.85.249.61, (None), 122, 1247, 0, 
16, United States, (Unknown), 37.419205, -122.0574, 209.85.253.184, (None), 121, 974, 0, 
17, United States, (Unknown), 37.419205, -122.0574, 209.85.252.215, (None), 1, 2079, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 108.170.252.65, (None), 3, 488, 0, 
19, United States, Mountain View, 37.419205, -122.0574, 74.125.37.101, (None), 2, 338, 0, 
20, United States, Mountain View, 37.419205, -122.0574, 74.125.173.234, (None), 49, 486, 0, 
