#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, India, Bangalore, 12.983307, 77.58331, 192.168.1.1, (None), 16, 16, 0, 
2, India, Bangalore, 12.983307, 77.58331, 122.179.4.1, abts-kk-dynamic-001.4.179.122.airtelbroadband.in, 15, 63, 0, 
3, India, New Delhi, 28.600006, 77.20001, 125.21.0.157, (None), 31, 32, 1738, 
5, India, New Delhi, 28.600006, 77.20001, 182.79.201.218, (None), 31, 547, 0,
6, India, New Delhi, 28.600006, 77.20001, 182.79.175.224, (None), 31, 1520, 0,
7, India, New Delhi, 28.600006, 77.20001, 182.79.177.69, (None), 32, 320, 0,
8, United States, Mountain View, 37.419205, -122.0574, 72.14.211.198, (None), 31, 701, 12418, 
9, United States, Mountain View, 37.419205, -122.0574, 108.170.253.122, (None), 31, 1327, 0, 
10, United States, Mountain View, 37.419205, -122.0574, 209.85.248.251, (None), 78, 875, 0,
11, United States, Mountain View, 37.419205, -122.0574, 108.170.235.220, (None), 63, 5284, 0, 
12, United States, Mountain View, 37.419205, -122.0574, 209.85.240.27, (None), 78, 1114, 0,
13, United States, Mountain View, 37.419205, -122.0574, 216.239.59.1, (None), 93, 1284, 0,
14, United Kingdom, London, 51.4964, -0.122406006, 216.239.50.186, (None), 62, 188, 8643,
15, United States, Emeryville, 37.834198, -122.2897, 216.239.42.91, (None), 15, 2309, 8615, 
16, United States, Mountain View, 37.419205, -122.0574, 108.170.226.2, (None), 15, 5285, 50, 
17, United States, Mountain View, 37.419205, -122.0574, 108.170.252.65, (None), 16, 568, 0, 
18, United States, Mountain View, 37.419205, -122.0574, 216.239.56.163, (None), 16, 1737, 0,
19, United States, Mountain View, 37.419205, -122.0574, 74.125.104.88, (None), 16, 342, 0, 
